merchant,category,amt,trans_date_trans_time,first,last
Publix Supermarket,grocery_pos,212.75,2019-01-01 00:32:15,Kelsey,Richards
Supermarket Shopping,grocery_pos,130.4,2019-01-01 00:32:15,Mary,Juarez
Costco Wholesale,grocery_pos,91.16,2019-01-01 00:32:47,Christopher,Luna
Sunoco Gas,gas_transport,55.78,2019-01-01 00:33:51,Carlos,Chung
Stop Shop Grocery,grocery_pos,83.07,2019-01-01 00:34:10,Sharon,Johnson
Target Online,shopping_net,4.38,2019-01-01 00:36:12,Briana,Santos
Kroger Store,grocery_pos,130.89,2019-01-01 00:36:58,Sandra,Schwartz
Fresh Market Grocery,grocery_pos,103.0,2019-01-01 00:37:18,Christine,Best
Peapod Delivery,grocery_net,50.82,2019-01-01 00:39:22,Beth,Lambert
Citgo Gas,gas_transport,60.77,2019-01-01 00:39:37,James,Hunt
Cafe Lunch,food_dining,122.86,2019-01-01 00:39:43,Randall,Dillon
Costco Wholesale,grocery_pos,212.45,2019-01-01 00:40:44,Elizabeth,Mckee
Circle K,misc_pos,7.33,2019-01-01 00:40:48,Savannah,Lewis
Mobil Gas,gas_transport,70.53,2019-01-01 00:40:50,Shawn,King
Supermarket Shopping,grocery_pos,58.26,2019-01-01 00:40:58,Benjamin,Harris
Kroger Delivery,grocery_net,50.45,2019-01-01 00:41:43,Thomas,Cross
Venmo Transfer,misc_net,177.57,2019-01-01 00:41:45,Sabrina,Johnson
JCPenney,shopping_pos,8.57,2019-01-01 00:42:26,Margaret,Williams
Valero Gas,gas_transport,56.66,2019-01-01 00:43:38,Jerry,Robinson
Grocery Delivery Service,grocery_net,75.34,2019-01-01 00:44:20,Linda,Davis
Sunoco Gas,gas_transport,62.54,2019-01-01 00:44:43,Mark,Wood
Giant Eagle,grocery_pos,92.84,2019-01-01 00:45:13,Lauren,Anderson
Online Service Fee,misc_net,2.76,2019-01-01 00:46:18,Michelle,Juarez
Macys Online,shopping_net,101.35,2019-01-01 00:47:55,Christopher,Choi
Software License,misc_net,303.47,2019-01-01 00:48:09,Susan,Shah
Online Shopping,shopping_net,83.52,2019-01-01 00:49:25,Guy,Thompson
Walmart Shopping,shopping_pos,9.97,2019-01-01 00:49:31,Jacob,Weber
Shipt Grocery,grocery_net,16.16,2019-01-01 00:50:53,Monica,Cohen
IGA Grocery,grocery_pos,59.56,2019-01-01 00:52:57,Frank,Anderson
Marathon Gas Station,gas_transport,57.23,2019-01-01 00:55:05,Andrew,Patterson
Kohls Department,shopping_pos,317.14,2019-01-01 00:56:12,Christopher,Holt
Publix Supermarket,grocery_pos,127.88,2019-01-01 00:56:44,Stephanie,Crane
E-commerce Purchase,shopping_net,113.4,2019-01-01 00:56:59,Louis,Fisher
Online Shopping,shopping_net,94.53,2019-01-01 00:57:17,Christopher,Matthews
Marshall Store,shopping_pos,1.82,2019-01-01 00:57:30,Mario,Johns
Train Fare,gas_transport,75.77,2019-01-01 00:58:02,Frank,Foster
Supermarket Shopping,grocery_pos,108.59,2019-01-01 00:58:53,Sarah,Cross
Citgo Gas,gas_transport,48.68,2019-01-01 00:59:25,Taylor,Khan
Airport Parking,gas_transport,72.35,2019-01-01 01:00:19,Joseph,Spencer
General Store,misc_pos,218.71,2019-01-01 01:00:48,Erin,Chavez
Parking Garage,gas_transport,52.59,2019-01-01 01:01:48,Christine,Harris
IGA Grocery,grocery_pos,89.11,2019-01-01 01:02:16,Aaron,Murray
Grocery Delivery Service,grocery_net,89.35,2019-01-01 01:02:53,Barbara,Taylor
Whole Foods Market,grocery_pos,50.68,2019-01-01 01:04:48,Antonio,Koch
Gas Fill Up,gas_transport,64.47,2019-01-01 01:06:06,Taylor,Khan
Amazon Fresh Delivery,grocery_net,63.58,2019-01-01 01:06:22,Debbie,Hughes
Parking Meter,gas_transport,81.85,2019-01-01 01:08:31,Ana,Howell
Uber Ride,gas_transport,59.7,2019-01-01 01:09:22,Ashley,Robinson
Taxi Cab,gas_transport,90.54,2019-01-01 01:09:41,Charles,Carrillo
Publix Supermarket,grocery_pos,50.57,2019-01-01 01:09:57,Scott,Martin
Venmo Transfer,misc_net,3.79,2019-01-01 01:09:57,Mary,Wall
Online Grocery Order,grocery_net,54.54,2019-01-01 01:10:16,Robert,Nguyen
Venmo Transfer,misc_net,3.35,2019-01-01 01:11:02,Christie,Williamson
Airport Parking,gas_transport,50.61,2019-01-01 01:14:11,Christopher,Ortega
Amazon Fresh Delivery,grocery_net,50.74,2019-01-01 01:14:11,Barbara,Lowe
Piggly Wiggly,grocery_pos,186.73,2019-01-01 01:14:55,Melissa,Meza
Shipt Grocery,grocery_net,39.95,2019-01-01 01:15:01,Gary,Barnes
Phillips 66 Gas,gas_transport,55.18,2019-01-01 01:16:52,Melissa,Meza
Fresh Market Grocery,grocery_pos,92.99,2019-01-01 01:17:44,Tanner,Carroll
Student Loan Payment,misc_pos,43.02,2019-01-01 01:18:10,Dylan,Bonilla
BP Gas Station,gas_transport,51.33,2019-01-01 01:19:02,Melissa,Mcclure
Credit Card Payment,misc_pos,47.85,2019-01-01 01:19:13,Regina,Johnston
Best Buy Electronics,shopping_pos,9.23,2019-01-01 01:20:50,Mary,Schmidt
Sunoco Gas,gas_transport,80.36,2019-01-01 01:21:50,Cheryl,Ballard
Online Subscription,misc_net,6.36,2019-01-01 01:22:14,Katherine,Love
Web Store,shopping_net,226.33,2019-01-01 01:22:56,Matthew,Russell
Overstock Online,shopping_net,215.99,2019-01-01 01:23:00,Cynthia,Davis
Venmo Transfer,misc_net,1.47,2019-01-01 01:23:17,Megan,Murphy
Arcade Games,entertainment,5.83,2019-01-01 01:23:26,Brianna,Page
Web Store,shopping_net,51.04,2019-01-01 01:23:38,Monique,Fox
Whole Foods Market,grocery_pos,122.05,2019-01-01 01:23:50,Kelly,Zimmerman
Peapod Delivery,grocery_net,106.19,2019-01-01 01:25:26,Christopher,Patterson
Food Lion Grocery,grocery_pos,129.09,2019-01-01 01:26:03,Jacqueline,Marsh
Concert Tickets,entertainment,7.06,2019-01-01 01:28:22,Ashley,Robinson
Subway Fare,gas_transport,61.71,2019-01-01 01:28:24,Brenda,Perez
Texaco Station,gas_transport,45.77,2019-01-01 01:30:21,Tyler,Mills
Sunoco Gas,gas_transport,61.0,2019-01-01 01:30:46,Sherry,Martinez
Shipt Grocery,grocery_net,38.7,2019-01-01 01:31:42,Eddie,Mendez
Chilis Restaurant,food_dining,98.24,2019-01-01 01:31:53,Melissa,Phillips
Cloud Storage Fee,misc_net,3.66,2019-01-01 01:32:28,Lisa,Lin
Health Insurance,misc_pos,34.11,2019-01-01 01:32:31,Daniel,Boyd
Giant Eagle,grocery_pos,134.66,2019-01-01 01:32:37,Tanya,Williams
Shipt Grocery,grocery_net,55.6,2019-01-01 01:33:51,Thomas,Cross
Shell Gas Station,gas_transport,58.79,2019-01-01 01:33:52,Tanya,Williams
Instacart Grocery,grocery_net,57.43,2019-01-01 01:34:10,Regina,Johnston
Safeway Grocery,grocery_pos,83.81,2019-01-01 01:34:25,Valerie,Davis
Kroger Delivery,grocery_net,27.03,2019-01-01 01:34:25,Randy,Murphy
Domain Registration,misc_net,23.8,2019-01-01 01:36:06,Audrey,Gonzalez
Nordstrom Store,shopping_pos,3.74,2019-01-01 01:36:48,Ashley,Blanchard
Convenience Store,misc_pos,9.07,2019-01-01 01:36:54,Christopher,Raymond
Texaco Station,gas_transport,64.72,2019-01-01 01:37:06,Angela,White
Food 4 Less,grocery_pos,92.56,2019-01-01 01:37:06,Ashley,Whitney
Walmart Grocery,grocery_pos,113.19,2019-01-01 01:37:20,Tanya,Williams
TGI Fridays,food_dining,187.27,2019-01-01 01:38:31,Aaron,Pena
Burger King,food_dining,68.24,2019-01-01 01:39:04,David,Thomas
Target Store,shopping_pos,636.41,2019-01-01 01:41:22,Steven,Sanders
Zappos Shoes,shopping_net,500.92,2019-01-01 01:41:24,Casey,Howell
Ross Dress,shopping_pos,2.1,2019-01-01 01:41:39,Jack,Hill
Valero Gas,gas_transport,69.54,2019-01-01 01:42:45,Kevin,Pena
Train Fare,gas_transport,84.23,2019-01-01 01:43:03,Kelsey,Richards
Kroger Store,grocery_pos,117.77,2019-01-01 01:43:59,Mark,Nguyen
Target Online,shopping_net,5.61,2019-01-01 01:44:52,Diane,Jackson
Metro Bus,gas_transport,71.74,2019-01-01 01:44:52,Cesar,Smith
BP Gas Station,gas_transport,75.76,2019-01-01 01:45:21,James,Cooper
Texaco Station,gas_transport,83.1,2019-01-01 01:46:08,Tammy,Ayers
Student Loan Payment,misc_pos,32.82,2019-01-01 01:46:40,Jesse,Roberts
Texaco Station,gas_transport,57.5,2019-01-01 01:47:00,Melanie,Jimenez
Instacart Grocery,grocery_net,53.87,2019-01-01 01:47:09,Monica,Tucker
Parking Meter,gas_transport,47.1,2019-01-01 01:49:06,Christopher,Gilbert
CVS Pharmacy,misc_pos,184.83,2019-01-01 01:49:35,Kelsey,Richards
Peapod Delivery,grocery_net,56.35,2019-01-01 01:49:37,Crystal,Gamble
Instacart Grocery,grocery_net,55.81,2019-01-01 01:50:26,Jason,Singh
Toll Road,gas_transport,67.91,2019-01-01 01:50:31,Audrey,Gonzalez
City Bus,gas_transport,75.82,2019-01-01 01:53:40,Michael,Rowe
Stop Shop Grocery,grocery_pos,123.14,2019-01-01 01:54:46,Daniel,Boyd
Victoria Secret,shopping_pos,8.34,2019-01-01 01:56:49,Zachary,Boone
Software License,misc_net,14.03,2019-01-01 01:56:51,Linda,Sanchez
Macys Department,shopping_pos,1.46,2019-01-01 01:58:20,Steven,Arnold
Insurance Premium,misc_pos,10.26,2019-01-01 01:59:23,Julia,Bell
Cloud Storage Fee,misc_net,3.67,2019-01-01 02:00:05,Jamie,Robinson
Best Buy Online,shopping_net,8.95,2019-01-01 02:00:11,Vincent,Waller
Costco Wholesale,grocery_pos,51.6,2019-01-01 02:00:43,David,Lewis
Costco Wholesale,grocery_pos,204.72,2019-01-01 02:01:07,Stephanie,Taylor
Online Subscription,misc_net,4.47,2019-01-01 02:01:36,Kimberly,Webb
Department Store,shopping_pos,4.08,2019-01-01 02:01:51,Jerry,Kelly
Netflix Subscription,entertainment,145.75,2019-01-01 02:02:04,Steven,Faulkner
Parking Garage,gas_transport,56.34,2019-01-01 02:02:23,Debra,Stark
McDonalds Restaurant,food_dining,31.8,2019-01-01 02:02:53,David,Cole
Metro Bus,gas_transport,63.39,2019-01-01 02:03:48,Cody,Hooper
Victoria Secret,shopping_pos,8.29,2019-01-01 02:04:41,Teresa,Blankenship
Fresh Market Grocery,grocery_pos,78.13,2019-01-01 02:06:56,William,Martinez
Airport Parking,gas_transport,52.67,2019-01-01 02:08:13,Mary,Pruitt
E-commerce Purchase,shopping_net,2.11,2019-01-01 02:08:48,Eric,Preston
Disney Plus,entertainment,5.27,2019-01-01 02:10:12,Heather,Hines
Target Store,shopping_pos,1.42,2019-01-01 02:12:07,Kelly,Zimmerman
Walmart Grocery,grocery_pos,104.08,2019-01-01 02:12:48,Robert,Long
JCPenney,shopping_pos,9.63,2019-01-01 02:12:52,Bridget,Bowen
Train Fare,gas_transport,39.98,2019-01-01 02:13:16,Lindsay,Wilson
Supermarket Shopping,grocery_pos,192.82,2019-01-01 02:14:03,Stacy,Villegas
Life Insurance Payment,misc_pos,34.76,2019-01-01 02:14:41,Charles,Rodriguez
Convenience Store,misc_pos,9.5,2019-01-01 02:16:47,Jessica,Shaw
Trader Joes,grocery_pos,182.1,2019-01-01 02:16:47,Jessica,Terry
Target Grocery,grocery_pos,78.43,2019-01-01 02:17:46,Christie,Williamson
Whole Foods Delivery,grocery_net,76.37,2019-01-01 02:20:32,David,Rodriguez
Online Subscription,misc_net,6.37,2019-01-01 02:20:48,Charles,Carrillo
Shipt Grocery,grocery_net,28.37,2019-01-01 02:20:56,Robert,Haynes
E-commerce Purchase,shopping_net,5.82,2019-01-01 02:21:04,Jacqueline,Prince
Walmart Grocery Delivery,grocery_net,41.01,2019-01-01 02:21:43,Christine,Johnson
Phillips 66 Gas,gas_transport,70.56,2019-01-01 02:22:31,Brianna,Wilson
Bridge Toll,gas_transport,57.64,2019-01-01 02:22:46,Diana,Jacobs
Parking Meter,gas_transport,119.47,2019-01-01 02:22:54,Carl,Hernandez
Whole Foods Market,grocery_pos,117.29,2019-01-01 02:23:37,James,Reese
Theme Park,entertainment,65.05,2019-01-01 02:23:41,Christopher,White
Valero Gas,gas_transport,61.99,2019-01-01 02:26:14,Gary,Martinez
Shell Gas Station,gas_transport,49.53,2019-01-01 02:26:16,Scott,Martin
Kroger Delivery,grocery_net,54.47,2019-01-01 02:27:58,Gregory,Graham
Online Shopping,shopping_net,6.05,2019-01-01 02:28:24,Tami,Forbes
Harris Teeter,grocery_pos,157.07,2019-01-01 02:28:51,Jeffery,Sanders
Parking Garage,gas_transport,59.19,2019-01-01 02:29:25,Carrie,Washington
Loan Payment,misc_pos,13.67,2019-01-01 02:31:06,Mary,Pruitt
FreshDirect Online,grocery_net,57.57,2019-01-01 02:32:26,Jessica,Ward
Insurance Premium,misc_pos,99.08,2019-01-01 02:33:06,Kristina,Stewart
Mobil Gas,gas_transport,72.67,2019-01-01 02:33:45,Kenneth,Richards
Aldi Grocery,grocery_pos,103.77,2019-01-01 02:34:32,Tyler,Garcia
Food Lion Grocery,grocery_pos,123.35,2019-01-01 02:34:54,Benjamin,Kim
CVS Pharmacy,misc_pos,2.07,2019-01-01 02:35:45,Kristina,Lewis
Auto Loan,misc_pos,7.16,2019-01-01 02:36:15,Stephanie,Murphy
Train Fare,gas_transport,74.6,2019-01-01 02:36:30,Juan,Sherman
7-Eleven Store,misc_pos,39.92,2019-01-01 02:36:48,Jeffrey,Smith
Online Service Fee,misc_net,29.19,2019-01-01 02:37:26,Felicia,Mckee
Shell Gas Station,gas_transport,56.76,2019-01-01 02:38:28,Christopher,Horn
TJ Maxx,shopping_pos,7.6,2019-01-01 02:38:31,Patrick,Torres
Supermarket Shopping,grocery_pos,128.24,2019-01-01 02:38:49,Juan,Henry
Nordstrom Store,shopping_pos,19.73,2019-01-01 02:41:25,Melinda,Gutierrez
Safeway Grocery,grocery_pos,88.67,2019-01-01 02:41:55,Ashley,Mcdonald
Software License,misc_net,185.04,2019-01-01 02:42:12,Jackie,Davis
Airport Parking,gas_transport,48.66,2019-01-01 02:42:25,Derek,Bentley
Speedway Gas,gas_transport,47.01,2019-01-01 02:43:13,Maria,Rosales
Publix Supermarket,grocery_pos,79.96,2019-01-01 02:43:50,Aaron,Pena
Credit Card Payment,misc_pos,3.32,2019-01-01 02:46:17,Benjamin,Robinson
Valero Gas,gas_transport,67.0,2019-01-01 02:47:49,Christopher,Horn
Auto Loan,misc_pos,1.67,2019-01-01 02:47:57,Jacqueline,Allen
Internet Payment,misc_net,150.61,2019-01-01 02:48:42,Johnny,Bennett
App Store Purchase,misc_net,4.73,2019-01-01 02:49:55,Joseph,Gonzalez
Food Lion Grocery,grocery_pos,60.71,2019-01-01 02:50:00,Tyler,Wright
Amazon Fresh Delivery,grocery_net,59.84,2019-01-01 02:51:32,Sarah,Bishop
Fresh Market Grocery,grocery_pos,196.36,2019-01-01 02:51:34,Claire,Davis
Department Store,shopping_pos,140.12,2019-01-01 02:52:13,Christopher,Sheppard
Venmo Transfer,misc_net,19.1,2019-01-01 02:53:55,Stephanie,Cummings
Etsy Handmade,shopping_net,1055.47,2019-01-01 02:54:10,Phillip,Delacruz
Digital Download,misc_net,193.9,2019-01-01 02:54:39,Mary,Juarez
Safeway Grocery,grocery_pos,140.33,2019-01-01 02:56:15,Rick,Martinez
Cloud Storage Fee,misc_net,16.65,2019-01-01 02:56:28,Elizabeth,Maxwell
eBay Buy,shopping_net,8.7,2019-01-01 02:56:56,Mark,Brown
Online Grocery Order,grocery_net,55.25,2019-01-01 02:58:49,Gina,Morrison
Exxon Mobil Gas,gas_transport,43.83,2019-01-01 02:58:51,Justin,Bell
Nordstrom Online,shopping_net,2.74,2019-01-01 02:59:07,Dalton,Jones
Amazon Fresh Delivery,grocery_net,59.67,2019-01-01 03:00:10,Larry,House
Forever 21,shopping_pos,3.19,2019-01-01 03:01:34,Melody,Thompson
Online Service Fee,misc_net,7.25,2019-01-01 03:01:44,Kenneth,Doyle
FreshDirect Online,grocery_net,25.89,2019-01-01 03:04:28,Amber,Lewis
Instacart Grocery,grocery_net,90.24,2019-01-01 03:06:56,Karen,Ryan
Supermarket Shopping,grocery_pos,202.71,2019-01-01 03:07:21,Elizabeth,Maxwell
Victoria Secret,shopping_pos,378.58,2019-01-01 03:07:26,Jodi,Foster
Whole Foods Delivery,grocery_net,22.08,2019-01-01 03:09:38,Michael,Gross
Lyft Ride,gas_transport,75.73,2019-01-01 03:09:47,Allen,Bell
Train Fare,gas_transport,77.59,2019-01-01 03:10:00,Amber,Lewis
Variety Store,misc_pos,75.85,2019-01-01 03:10:23,Amanda,Molina
Zappos Shoes,shopping_net,8.65,2019-01-01 03:10:59,Tara,Richards
Software License,misc_net,8.68,2019-01-01 03:12:06,Robert,Flores
Kroger Store,grocery_pos,176.57,2019-01-01 03:12:10,Angela,Taylor
Speedway Gas,gas_transport,49.1,2019-01-01 03:12:23,Kelly,Zimmerman
Spotify Premium,entertainment,1.25,2019-01-01 03:12:40,Stephanie,Cummings
Sports Game Tickets,entertainment,3.14,2019-01-01 03:12:57,Brian,Simpson
App Store Purchase,misc_net,1.53,2019-01-01 03:13:46,Tara,Richards
IGA Grocery,grocery_pos,56.83,2019-01-01 03:14:48,Eddie,Mendez
Life Insurance Payment,misc_pos,464.74,2019-01-01 03:15:26,William,Thompson
Amazon Purchase,shopping_net,6.32,2019-01-01 03:15:42,Pamela,Matthews
Fresh Market Grocery,grocery_pos,78.08,2019-01-01 03:16:02,Brandy,Quinn
Walmart Grocery,grocery_pos,123.0,2019-01-01 03:16:25,Phillip,Robertson
Gas Fill Up,gas_transport,44.68,2019-01-01 03:18:00,Kayla,Sutton
Whole Foods Market,grocery_pos,89.7,2019-01-01 03:21:04,Justin,Aguilar
Texaco Station,gas_transport,69.3,2019-01-01 03:24:07,Randy,Murphy
Spotify Premium,entertainment,51.64,2019-01-01 03:25:25,Casey,Howell
Sunoco Gas,gas_transport,71.06,2019-01-01 03:26:12,Shelby,Cannon
Regal Cinemas,entertainment,143.18,2019-01-01 03:27:19,Kevin,Walters
Cloud Storage Fee,misc_net,158.49,2019-01-01 03:27:51,Jose,Campbell
Uber Ride,gas_transport,61.08,2019-01-01 03:28:02,Briana,Santos
Harris Teeter,grocery_pos,145.21,2019-01-01 03:30:49,Christopher,Horn
Sunoco Gas,gas_transport,52.53,2019-01-01 03:31:17,Linda,Hurst
Train Fare,gas_transport,58.23,2019-01-01 03:31:41,Zachary,Allen
Airport Parking,gas_transport,77.01,2019-01-01 03:35:15,Andrea,Cruz
Whole Foods Market,grocery_pos,122.89,2019-01-01 03:35:27,Michael,Jones
Food Lion Grocery,grocery_pos,94.23,2019-01-01 03:35:56,Jesse,Roberts
Citgo Gas,gas_transport,67.36,2019-01-01 03:37:04,Joseph,Murray
Online Service Fee,misc_net,8.93,2019-01-01 03:37:16,Bill,Lane
Stop Shop Grocery,grocery_pos,111.81,2019-01-01 03:37:43,Wayne,Marsh
Bank ATM Fee,misc_pos,1.27,2019-01-01 03:39:30,Melanie,Jimenez
Costco Wholesale,grocery_pos,93.78,2019-01-01 03:39:45,Xavier,Beltran
Car Loan Payment,misc_pos,3.43,2019-01-01 03:42:00,Heather,Chase
Loan Payment,misc_pos,1.14,2019-01-01 03:42:46,Jerry,Robinson
Kohls Department,shopping_pos,7.09,2019-01-01 03:42:50,Tanner,Davis
Bridge Toll,gas_transport,47.65,2019-01-01 03:45:11,Sara,Ramirez
Etsy Handmade,shopping_net,511.09,2019-01-01 03:45:30,Jack,Hill
Grocery Delivery Service,grocery_net,73.77,2019-01-01 03:45:42,Lori,Rodriguez
Texaco Station,gas_transport,68.23,2019-01-01 03:47:20,Alice,Kemp
Target Grocery,grocery_pos,205.79,2019-01-01 03:47:28,Crystal,Gamble
Safeway Grocery,grocery_pos,68.96,2019-01-01 03:49:16,Cheryl,Melton
Supermarket Shopping,grocery_pos,62.03,2019-01-01 03:49:40,James,Stephens
Walmart Grocery Delivery,grocery_net,30.69,2019-01-01 03:49:49,Linda,Davis
7-Eleven Store,misc_pos,1.1,2019-01-01 03:49:56,Julia,Bell
Shipt Grocery,grocery_net,72.9,2019-01-01 03:50:05,Ashley,Mcdonald
Airport Parking,gas_transport,54.04,2019-01-01 03:50:59,Christine,Burns
eBay Buy,shopping_net,909.66,2019-01-01 03:51:28,Susan,Mills
Piggly Wiggly,grocery_pos,103.31,2019-01-01 03:52:20,Bianca,Scott
Instacart Grocery,grocery_net,105.38,2019-01-01 03:54:07,Marissa,Powell
Marathon Gas Station,gas_transport,66.73,2019-01-01 03:54:59,Elizabeth,Payne
Target Grocery,grocery_pos,92.62,2019-01-01 03:55:27,Pamela,Curtis
Auto Loan,misc_pos,75.6,2019-01-01 03:56:02,Thomas,Mathis
Target Store,shopping_pos,2.49,2019-01-01 03:56:13,Helen,Campbell
Zappos Shoes,shopping_net,2.87,2019-01-01 03:56:52,George,Smith
eBay Buy,shopping_net,87.91,2019-01-01 03:57:43,Craig,Franco
Marathon Gas Station,gas_transport,75.1,2019-01-01 03:58:29,Melinda,Gutierrez
JCPenney,shopping_pos,2.9,2019-01-01 03:59:04,Kathleen,Nash
Uber Ride,gas_transport,57.43,2019-01-01 03:59:35,William,Thompson
Wegmans Food,grocery_pos,122.86,2019-01-01 04:00:47,Daniel,Martinez
Digital Download,misc_net,7.77,2019-01-01 04:00:55,Christopher,Luna
Entertainment Venue,entertainment,23.89,2019-01-01 04:02:21,Alicia,Hawkins
Shell Gas Station,gas_transport,46.24,2019-01-01 04:02:55,Jacqueline,Howard
Bridge Toll,gas_transport,68.34,2019-01-01 04:03:44,Alyssa,Morgan
Valero Gas,gas_transport,84.58,2019-01-01 04:03:53,Megan,Murphy
Marshall Store,shopping_pos,123.51,2019-01-01 04:04:32,Joshua,Cohen
FreshDirect Online,grocery_net,68.07,2019-01-01 04:06:45,Debbie,Hughes
Nordstrom Online,shopping_net,494.44,2019-01-01 04:07:22,Mary,Lewis
Zappos Shoes,shopping_net,8.61,2019-01-01 04:08:02,Kathleen,Nash
Amazon Purchase,shopping_net,9.52,2019-01-01 04:08:38,Melody,Thompson
Miscellaneous Purchase,misc_pos,208.08,2019-01-01 04:09:45,Christopher,Gilbert
Taco Bell,food_dining,30.12,2019-01-01 04:12:45,Kimberly,Myers
Fashion Retail,shopping_pos,5.15,2019-01-01 04:13:00,Kathleen,Thompson
Food Lion Grocery,grocery_pos,132.23,2019-01-01 04:13:37,Brian,Perez
Car Insurance,misc_pos,35.0,2019-01-01 04:14:13,Stanley,Mayo
Cloud Storage Fee,misc_net,5.88,2019-01-01 04:14:32,Kenneth,Edwards
Supermarket Shopping,grocery_pos,203.26,2019-01-01 04:15:24,Melissa,Flores
Trader Joes,grocery_pos,208.58,2019-01-01 04:18:10,Kelsey,Richards
Speedway Gas,gas_transport,57.69,2019-01-01 04:18:39,Samuel,Jenkins
Nordstrom Online,shopping_net,9.46,2019-01-01 04:19:01,Jeremy,White
Overstock Online,shopping_net,1.91,2019-01-01 04:19:04,Heather,Chase
Venmo Transfer,misc_net,4.86,2019-01-01 04:20:39,Edward,Tapia
Target Grocery,grocery_pos,74.47,2019-01-01 04:21:52,Lori,Rodriguez
Whole Foods Market,grocery_pos,49.58,2019-01-01 04:21:55,Richard,Brown
Bank ATM Fee,misc_pos,56.98,2019-01-01 04:22:26,Angela,White
PayPal Payment,misc_net,8.34,2019-01-01 04:22:51,Lawrence,Davis
Parking Garage,gas_transport,81.72,2019-01-01 04:23:03,Richard,Brown
Kroger Store,grocery_pos,123.9,2019-01-01 04:23:33,Christine,Johnson
Supermarket Shopping,grocery_pos,185.98,2019-01-01 04:24:41,Allison,Allen
Gas Fill Up,gas_transport,56.61,2019-01-01 04:24:47,Gabriella,Jordan
Sunoco Gas,gas_transport,57.47,2019-01-01 04:25:51,Erica,Briggs
Airport Parking,gas_transport,50.16,2019-01-01 04:26:21,Lindsay,Wilson
